class,comment,date,difficultyRatingRounded,qualityRating,thumbsDownTotal,thumbsUpTotal,professor,department,avgRating
STAT30301,I genuinely don't understand why she gets so much hate. Yes the class is difficult but it is nowhere near as bad as the calc classes here. She is not the best lecturer I have ever had but she is well spoken and explains concepts reasonably well. Just put in the effort and you will be fine. She literally gives extra credit for attending class,2026-05-01 03:04:49 +0000 UTC,4,4,4,0,Pam Porterfield,Statistics,1.5
STAT30301,"Pam is a wonderful person. Apart from that, this is genuinely impressive how bad this class is. It is as bad as people are saying, and anyone who says otherwise needs to stop lying. There is no hope. Exams are legitimately bad. Good luck. :)",2026-04-30 21:31:22 +0000 UTC,5,1,0,2,Pam Porterfield,Statistics,1.5
STAT30301,"I'll be honest, shes not as bad as people always complain about. The exams are very difficult, but lots of resources are given to prepare for them. You can get extra credit points just for attending, so make sure to go to the lecture, even if you don't pay attention. You can go through the slides in your own time.",2026-04-23 16:39:30 +0000 UTC,4,3,0,0,Pam Porterfield,Statistics,1.5
STAT30301,The slides and lecture suck but if you've done stats before it's not that bad. The excel activities are really confusing but they're not on the exams. ,2026-04-20 19:53:51 +0000 UTC,3,3,0,0,Pam Porterfield,Statistics,1.5
STAT30301,"Pam isn't the best, but she is fine. So many people claim exams are hard and then brag about the fact they only studied for 15 minutes. Assignments are easy, exams aren't hard at all if you put in the bare minimum amount of studying. Don't listen to reviews. Maybe if people studied instead of drinking 4 nights a week... super easy intro class.",2026-04-15 17:22:41 +0000 UTC,1,4,3,0,Pam Porterfield,Statistics,1.5
STAT30301,"This is hands down the worst class on Purdue's campus. The majority of each lecture class has to retake the course because the second exam is intentionally made to be difficult and ""weed out students"". I do not understand the value of her teaching method, and am incredibly frustrated with the amount she weighs on these exams.",2026-04-09 17:23:59 +0000 UTC,5,1,1,2,Pam Porterfield,Statistics,1.5
STAT30301,"The lecture slides are organized terribly. She does not elaborate on the content and simply reads off slides.The few times she actually attempts to go in depth on a concept, her explanation only complicates things more. I'm retaking this class, and she still hasn't incorporated feedback. Stats is general is not hard, but she makes it impossible. ",2026-02-23 00:08:39 +0000 UTC,5,1,0,2,Pam Porterfield,Statistics,1.5
STAT30301,"genuinely laughable course.
exam review is 6 questions.
best of purdue btw",2026-02-22 19:37:14 +0000 UTC,5,1,1,1,Pam Porterfield,Statistics,1.5
STAT30301,Not good at all,2026-02-19 03:32:51 +0000 UTC,5,1,0,1,Pam Porterfield,Statistics,1.5
STAT30301,Cannot teach I ended up having to teach stat to myself,2026-01-20 18:31:43 +0000 UTC,4,1,0,1,Pam Porterfield,Statistics,1.5
STAT30301,"Professor Porterfield is a genuinely kind and caring person. Unfortunately, her tests are EXTREMELY tough, and her lectures aren't very informative. Excel activities get confusing, and there's no curve for the exams, although the average is well within the 60s. Good luck taking this class!",2026-01-13 22:15:26 +0000 UTC,4,2,0,1,Pam Porterfield,Statistics,1.5
STAT30301,Her lectures are occasionally confusing and can be very boring. The tests are really only ok because you get cheat sheets. Just do the homework and have a really good cheat sheet for exams.,2026-01-06 23:30:22 +0000 UTC,4,2,0,0,Pam Porterfield,Statistics,1.5
STAT30301,"She's a nice person, but she'll teach you the bare minimum when it comes to what is needed for the exam. She'll give a set of review problems, but there's no guarantee that it'll be on exam. She'll also put the most random concepts that she skips past during lecture that would make you think aren't important. All in all, good luck.",2025-12-27 04:47:00 +0000 UTC,3,1,0,0,Pam Porterfield,Statistics,1.5
BCHM221,Dr. Carter made the lectures really digestible and ensured that every student's opinion mattered in his class. I would highly recommend taking his classes in Purdue.  ,2026-07-14 12:52:49 +0000 UTC,4,5,0,0,Benjamin Carter,Biochemistry,4.5
BCHM221,cool guy..................,2026-04-27 18:09:27 +0000 UTC,3,5,0,0,Benjamin Carter,Biochemistry,4.5
BCHM221,"BCHM 561. Grade heavily based on exams/quizzes, only a couple sets of homework problems. Lot of  content, but 99% of that tested is lecture material and fair game. Carter does a phenomenal job of relaying the content and making it relatable. If you take the time to study and know everything presented to you, there will be no surprises",2025-04-07 20:30:33 +0000 UTC,3,5,0,0,Benjamin Carter,Biochemistry,4.5
BCHM221,Great to chat with. Grades relatively easy. This was his first year teaching BCHM 221. Attendance only mandatory for lab. Pop quizzes in lab. No extra credit. No textbook.,2024-05-08 01:46:55 +0000 UTC,2,3,0,0,Benjamin Carter,Biochemistry,4.5
IE490,"Summer class, lots of work, fun experience",2026-07-13 03:04:59 +0000 UTC,4,4,0,0,Vincent Duffy,Industrial Engineering,4.0
IE490,"Professor Duffy makes you laugh because of how passionate he is about what he does, almost to a point where he needs to stop because of how much he wants to teach us. The class is presentation heavy which can be daunting but it is mostly to convey course content so they are low pressure.",2026-07-13 01:58:50 +0000 UTC,3,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE490,Professor Duffy helped his students to immerse themselves in the class content. He was incredibly helpful and took feedback from students well. The class was very homework heavy for the tight three week timeline.,2026-07-12 20:56:59 +0000 UTC,4,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE486,"I did the ""AI in Safety"" Study Abroad Course with Professor Duffy Summer 2026. He was incredibly caring and cares about student's wellbeing. He is very knowledgeable and I would recommend taking a course with him anyday!",2026-07-12 20:33:36 +0000 UTC,5,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE558,"Professor Duffy is great. He helped me be a successful student during the Study abroad trip. I highly recommend taking any of his courses, especially abroad! 100% would take more of his classes in IE. ",2026-07-09 18:32:45 +0000 UTC,3,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE486,"I enjoyed Professor Duffy a lot. He made lectures entertaining. I always wanted to go to his class and the work load was manageable. I took the ""Summer 2026 Study Abroad"" course in Rome. This was the best decision and location for a 3 credit class. I 100% recommend taking any of Dr. Duffy's classes at Purdue. He helped me be a successful student.",2026-07-09 18:27:58 +0000 UTC,3,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE590,"I took a study abroad course with him. He was a great teacher, always caring if we were following along and about our success in the course. Of course, this is easier in a class of 20-something students, so I don't know how this would translate to a lecture hall but very kind. He was a bit disorganized and didn't always plan deadlines effectively..",2026-07-09 18:10:37 +0000 UTC,2,4,0,0,Vincent Duffy,Industrial Engineering,4.0
IE48600,"Took AI and Safety in Systematic Review in Italy with him, had the best time. Made class time really interesting and fun, lots of presentations and group work, cared about the students and our understanding of the material, passionate about his work, very talented and used textbooks he wrote! Would definitely take a class with him again! ",2026-07-09 16:03:12 +0000 UTC,3,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE590,"I took a study abroad course with this teacher, and the class was properly balanced with exploring the culture of Italy.",2026-07-08 19:03:31 +0000 UTC,4,4,0,0,Vincent Duffy,Industrial Engineering,4.0
IE55800,Effective course,2026-05-09 03:45:54 +0000 UTC,2,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE55800,Professor gave good materials to learn from. ,2026-05-09 03:17:28 +0000 UTC,3,4,0,0,Vincent Duffy,Industrial Engineering,4.0
IE55800,Good materials to learn from. ,2026-05-09 03:16:02 +0000 UTC,3,4,0,0,Vincent Duffy,Industrial Engineering,4.0
IE55800,Suggested good materials to learn.,2026-05-09 03:12:51 +0000 UTC,3,4,0,0,Vincent Duffy,Industrial Engineering,4.0
IE558,"Amazing professor, very approachable and helpful!!",2026-05-09 02:43:26 +0000 UTC,5,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE556,"Nice guy, good class. The organization of material and expectations could have been better. He knows his stuff and it awesome to hear him teach.",2026-05-09 02:31:59 +0000 UTC,2,4,0,0,Vincent Duffy,Industrial Engineering,4.0
IE55800,He is a good professor. Clear with what is expected. ,2026-05-09 02:20:59 +0000 UTC,2,4,0,0,Vincent Duffy,Industrial Engineering,4.0
IE558,Smart guy and good communicator ,2026-05-09 02:13:38 +0000 UTC,3,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE556,"Good professor who knows the material well. Class can be challenging, but fair and manageable if you stay on top of things. Lectures are clear and organized, and he gives opportunities like extra credit.",2026-05-09 02:04:57 +0000 UTC,1,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE556,"Prof. Duffy is a solid instructor who clearly knows the material and wants students to succeed. The course can be challenging at times, but if you pay attention and stay on top of assignments, you'll be fine. Lectures are organized and he explains concepts in a practical way. He also offers opportunities like extra credit, which helps. ",2026-05-09 02:03:43 +0000 UTC,1,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE556,Amazing Professor!!,2026-05-09 01:53:30 +0000 UTC,5,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE55800,Amazing lectures and resources,2026-05-08 23:41:22 +0000 UTC,3,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE55800,Clear and structured,2026-05-08 21:45:52 +0000 UTC,2,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE558,"The course management is somewhat lacking in structure. However, overall, I think it is a good class.",2026-05-08 21:45:47 +0000 UTC,2,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE558,Prof. Duffy is one of the most approachable and understanding professors out there. I highly recommend opting for his safety engineering course.,2026-05-08 21:35:36 +0000 UTC,1,5,0,0,Vincent Duffy,Industrial Engineering,4.0
IE55800,Explains concepts clearly and with engagement. Strong participation component to class but is good about offering extra credit/make up assignments if you do miss class.,2026-05-08 20:48:12 +0000 UTC,3,4,0,0,Vincent Duffy,Industrial Engineering,4.0
MA151," I took a look at Monica's ratings on Rate My Professor,   and I would want to check that the students who submitted ratings actually took the class because I did not recognize this professor from the comments.  ",2026-07-13 18:08:40 +0000 UTC,3,5,0,0,Monica Torres,Mathematics,2.9
MA366,"Easily one of my favorite professors this semester. She is very kind and caring and does a great job teaching the material. While not mandatory, lectures are heavy with content due to the density of the material. Homeworks can be long, but the textbook has an answer key, and exams are fair with many opportunities for extra credit. I'd recommend!",2025-05-16 06:57:05 +0000 UTC,1,5,0,0,Monica Torres,Mathematics,2.9
MA366,"not the worst professor ever but lots of room for improvement. if you want a professor who actually teaches you instead of telling you, maybe look for someone else",2023-12-15 20:04:28 +0000 UTC,4,3,0,0,Monica Torres,Mathematics,2.9
MTH504,Sometimes she would write on the board which was fine. What was not awesome was when she put her notes on the projector and read them to us. Not a great intro to analysis.,2022-12-15 02:24:36 +0000 UTC,4,2,0,0,Monica Torres,Mathematics,2.9
MA362,"I stayed in class up until after the midterm. She said she wants to avoid tedious problems, but that is all the homework is. Her lectures were absolutely boring, and she was adamant about not using electronics in class. She was hard to understand under her mask and accent. The class was so easy, but I hated every second of it.",2022-01-10 20:35:03 +0000 UTC,2,1,0,0,Monica Torres,Mathematics,2.9
MA366,Lectures have good examples. Homework is a lot of quantity but not difficult. Exams are straightforward and follow the lectures and homework from the textbook.,2021-05-11 21:24:58 +0000 UTC,3,3,0,0,Monica Torres,Mathematics,2.9
MA362,"Pretty average experience overall. Tests aren't too bad, very straightforward and not integration heavy on purpose (she often said this isn't a Calc II class so we don't need to focus on hard integrals). Sometimes there's a lot of homework though.",2019-12-18 05:56:20 +0000 UTC,3,3,0,0,Monica Torres,Mathematics,2.9
MA362,"Her accent was very strong but after a little while, you'll get used to it. Very lecture heavy and sometimes the notation that she uses is different than others that I have seen so beware!",2018-12-14 04:11:21 +0000 UTC,4,3,0,0,Monica Torres,Mathematics,2.9
MA266,"Strong Accent, Writes on board, Lecture was more theory a lot of the time didnt always align with Webassign, 3 matlab projects (in which matlab is never taught in class), grades for exams were never posted online (only handed back in class) so didnt know how you were doing until final grades, no quizzes, not mandatory attendance,",2018-06-26 18:36:26 +0000 UTC,3,3,0,0,Monica Torres,Mathematics,2.9
MA266,This professor was one of the worst math professors I have had. I couldn't understand her during some lectures (accent) and I always had to get lecture notes online because hers are a mess. She does not prepare you for the difficulty of her exams.,2018-04-04 10:17:53 +0000 UTC,4,2,0,0,Monica Torres,Mathematics,2.9
MA266,She was wonderfully helpful. Clearly puts in a lot of work into her classes and is always available for discussion after class or during office hours. Very friendly and clearly knows her stuff!,2016-05-24 14:48:49 +0000 UTC,1,5,0,0,Monica Torres,Mathematics,2.9
MA266,"She always shows in class the proof for the methods to be used on the homework, I liked that and though it gave me a better understanding. She was very helpful in scheduling a makeup exam and additionally was useful to me in office hours.  She is good if you like to have a thorough understanding of the math behind the methods you are using.",2014-05-05 11:04:24 +0000 UTC,2,5,0,0,Monica Torres,Mathematics,2.9
MATH544,"Terrible lecturer, terrible lesson planner, terrible textbook and exam author, terrible problem choice. Never attempted a single homework assignment herself, assigning all the problems in an incomplete textbook many of which were outside the scope of the section, class, or possibility. Copied textbook onto handwritten sheets and then to the board.",2013-11-18 16:50:44 +0000 UTC,5,1,0,1,Monica Torres,Mathematics,2.9
MA266,"The lecture is not very helpful. She puts up the textbook examples during class and reads off of them, sometimes even photocopies of the actual book pages. She is not very helpful outside of class and gets annoyed with students. She does not allow phones in class.",2012-12-13 02:07:27 +0000 UTC,3,2,0,0,Monica Torres,Mathematics,2.9
MA266,"She is difficult to understand.  She lost my exam, making me almost drop the class, then found in 3 days later. And her office hours are pointless.",2012-10-17 17:48:48 +0000 UTC,4,1,0,0,Monica Torres,Mathematics,2.9
MA151,"With the other comments I was expecting the class to be fairly easy and enjoyable to attend. I have to say I haven't had either. She is very hard to understand with a thick accent, doesn't go over material well at all, and is very impatient with the class and doesn't want to explain answers fully.",2012-09-29 15:06:34 +0000 UTC,4,2,0,0,Monica Torres,Mathematics,2.9
MA271,She was very good at explaining the material and was always available to answer questions if we had them.,2011-12-10 22:36:40 +0000 UTC,2,5,0,0,Monica Torres,Mathematics,2.9
MTH504,"She mostly just rewrites the textbook on paper, puts it on the overhead, and then reads it to the class. The textbook is fairly dense as it is, it takes time to digest the material, and having someone read it to you isn't helpful. She is skipping important sections (differentiation), but still the results. Avoid if you are not strong in Analysis.",2011-11-04 14:53:37 +0000 UTC,4,1,0,0,Monica Torres,Mathematics,2.9
MA271,"I enjoyed her class.  As long as you do the homework and put the effort forth, you should get an A.",2011-01-04 10:12:52 +0000 UTC,2,5,0,0,Monica Torres,Mathematics,2.9
MA271,"She is very entertaining, but at the same time, clearly explains all concepts and wants to see everyone in the class succeed.  She is always open to answering questions and saying funny things.",2010-12-03 14:18:49 +0000 UTC,2,5,0,0,Monica Torres,Mathematics,2.9
MA271,"She didn't tell us much that wasn't in the textbook, and as I didn't understand the textboook to begin with, her classes weren't at all helpful. I could tell other students were confused as well. She was teaching a class geared toward engineers in a thoroughly conceptual, rather than physical, way, which I thought was a mistake.",2009-01-10 21:05:27 +0000 UTC,4,3,1,0,Monica Torres,Mathematics,2.9
MGMT304,"The summer section of the class is well organized. The lectures are comprehensive, though sometimes you need to look at the textbook for some niche details asked in the homework. Exam is similar to the practice exam, and is open notes. Prof. Baeza also tells you what you need to and don't need to know for the exam. ",2026-07-13 02:34:38 +0000 UTC,2,4,0,0,Phillip Baeza,Management,4.1
MGMT304,"Philip is outstanding. Nice dude, best prof I've ever had. Anyone would be lucky to have him as a teacher. ",2026-02-18 23:22:39 +0000 UTC,2,5,0,0,Phillip Baeza,Management,4.1
MGMT412,"MGMT 245, he spends his lectures talking about what seems like everything but excel and on certain assignments he told us ""I told my TAs to not help on this homework"" which leaves you without a support system sometimes. He also took pride in making the class very hard until the first exam average was a 60%.Its a freshman level class not a 500 level",2026-01-13 14:24:57 +0000 UTC,2,2,0,0,Phillip Baeza,Management,4.1
MGMT304,"I had him for MGMT245 but it wasn't an option. Baeza is pretty chill, however I do think a lot of us struggled in the class because this course is basically CS-type hard (im not cs tho so dont @ me) but we were lowkey expecting it to be a basic excel course. the first unit is easy but it advances FAST. make sure u pay attention in lectures. lock in",2025-12-31 05:06:33 +0000 UTC,2,3,0,0,Phillip Baeza,Management,4.1
MGMT412,Phillip is horrible. He reads off the slides like a middle schooler doing a presentation for the first time and proceeds to take points off on your project if you do the same. He also goes on random tangents and doesn't teach almost any relevant material to the exams or homework which makes exams extremely difficult. This class is a waste of time.,2025-11-17 14:13:21 +0000 UTC,4,1,0,0,Phillip Baeza,Management,4.1
MGMT304,**MGMT 310** Outstanding professor who cares and wants his students to succeed. The material in this class is super useful in the real world. Lectures are interesting and have I-clickers in almost every class. ,2025-05-11 16:04:13 +0000 UTC,3,5,0,0,Phillip Baeza,Management,4.1
MGMT304,"I took 310 with Prof. Baeza, he is one of my fav prof at Purdue, yes the class can be challenging but he makes time for you to actually understand the material. If you can, try to get to know him outside of class!!",2025-05-04 23:52:37 +0000 UTC,2,5,0,0,Phillip Baeza,Management,4.1
MGMT412,"He is a great professor. He checks all the boxes. He cares about his students and has very reasonable expectations.  This is the most well-thought-out class and probably the best-taught class I have taken at Purdue. The only drawback is that the material leans towards the boring side, but the guest lecturers and prof B's enthusiasm make up for it.",2024-12-05 05:12:57 +0000 UTC,2,5,0,0,Phillip Baeza,Management,4.1
MGMT412,"Had him snr year and despite it only being his second-year teaching at Purdue, he was a great professor. Dr. Baeza is a different level of passionate about his studies, he shares his own research but keeps it interesting and quick. One of my favorite professors at Purdue, you can tell he cares and enjoys what he is teaching about. Highly recommend!",2024-08-20 02:14:12 +0000 UTC,2,5,0,0,Phillip Baeza,Management,4.1
MGMT304,He is the goat. Nothing else to say. ,2024-03-21 18:43:13 +0000 UTC,3,5,0,0,Phillip Baeza,Management,4.1
MGMT304,"Super nice professor, took his class last semester and he was so helpful and willing to accommodate if I ever had any problems with HW/class. Going to class will definitely help you learn the material and do better in the class, I didn't go the first half but did the second and did significantly better. Overall a decent class and great teacher.",2023-04-30 06:02:36 +0000 UTC,3,5,0,0,Phillip Baeza,Management,4.1
MGMT304,Attendance doesn't really matter as long as you understand the homework and are actually completing it. He curved everyone if they completed every single homework to get at least a C even when failing exams. You also get a cheat sheet for each exam. ,2023-01-07 02:35:12 +0000 UTC,3,4,0,0,Phillip Baeza,Management,4.1
MGMT304,Professor Baeza is a kind man. You can tell he is very passionate about his subject. ,2022-12-30 23:31:20 +0000 UTC,3,4,0,0,Phillip Baeza,Management,4.1
STAT417,"I can't imagine who else is better at teaching this course other than Drew. His lectures are very clear and the weekly worksheet helps a lot in practicing the materials we learned. Exams are difficult, but the grading is very lenient and they are only ~50% of the total grade. Homework is biweekly and doesn't take long, ",2026-07-13 01:46:31 +0000 UTC,3,5,0,0,Andrew Yarger,Statistics,4.6
STAT417,Great guy who does the notes in class so you can follow along. Posts supplemental slides. Combination of in-class worksheets and homeworks that aren't too bad. Syllabus grade break-down is in your favor. Liked his dry sense of humor and lectures are very casual.,2026-05-05 21:33:22 +0000 UTC,3,4,0,0,Andrew Yarger,Statistics,4.6
STAT417,"One of my favorite Stats profs at Purdue, he does an amazing job breaking stuff down for you.",2026-04-26 21:33:43 +0000 UTC,3,5,0,0,Andrew Yarger,Statistics,4.6
STAT417,"Professor Yarger's course is very well designed. The lectures, assignments, and worksheets are all clear and helpful for understanding the material. The worksheets in particular are well-structured and reinforce key concepts effectively.",2026-04-21 18:53:59 +0000 UTC,4,5,0,0,Andrew Yarger,Statistics,4.6
STAT417,"Professor Yarger is honestly one of the best stat professors I've had at Purdue. He's really good at breaking stat theory down to plain english, and bringing in a conceptual layer where it would seem otherwise impossible. He's also pretty lively during lectures, promotes asking questions and really does not let it get boring in class.",2025-12-25 05:05:25 +0000 UTC,3,5,0,0,Andrew Yarger,Statistics,4.6
STAT417,"Good prof, typically makes sense but idk much after the midterm and still got an A. ",2025-12-25 03:23:25 +0000 UTC,4,5,0,0,Andrew Yarger,Statistics,4.6
STAT417,"A large portion of the material I'd finally understand after looking up how to do it while attempting the homework, rather than understanding during lecture. He would often explain some of the simple concepts quite thoroughly while breezing past the difficult concepts, especially near the end of semester. Not a bad professor, but I'd prefer others.",2025-02-20 01:30:01 +0000 UTC,4,3,0,0,Andrew Yarger,Statistics,4.6
STAT417,"Midterm worth 20% , final 20% and homework 45%. His midterm was like the practice midterm. He has a fun personality and is a chill guy. Topics can be confusing. Homework consists of 5-6 problems. Only 7 homeworks all semester, lowest one dropped. Not a tough grader. He is the only reason I actually went to class.",2024-12-03 01:25:33 +0000 UTC,3,5,0,0,Andrew Yarger,Statistics,4.6
STAT417,He is a great guy. very helpful in office hours. lectures are a little messy but you can self learn most of the topics. the grade breakdown was 60% homework and 40% exams. should be very easy to pass. exams are like the practice exam. hes such a chill guy. ,2024-05-08 08:08:51 +0000 UTC,2,5,0,1,Andrew Yarger,Statistics,4.6
ECON251,Ive done this dance with Mrs fox a couple times now and every time she keeps surprising me on how unorganized and un communicative a professor can be. Do not take for your own sake,2026-07-12 22:19:59 +0000 UTC,5,1,0,0,Melanie Fox,Economics,2.5
ECON252,As an engineering student most of her lectures could have just been emails. Her class was disorganized but in that mess she'll give you the benefit of the doubt.,2026-04-30 14:28:25 +0000 UTC,2,2,0,0,Melanie Fox,Economics,2.5
ECON251,Very well organised in terms of laying out deadlines for assignments and tests were very easy due to being multiple choice. Explained the content well enough and without a lot of math. Explains everything well but course has a lot of busywork.,2026-04-08 21:14:35 +0000 UTC,2,5,0,0,Melanie Fox,Economics,2.5
ECON252,"Low-key, take these reviews with a heavy grain of salt. I personally thought she was a great professor who wanted us to do well. She taught well & homework weren't bad, but class was boring at times. It was well structured & the exams are ok. It does cover spoken topics, but it takes extra outside work to understand concepts to prepare 4 exams;",2026-03-22 20:30:56 +0000 UTC,3,4,0,0,Melanie Fox,Economics,2.5
ECON251,"The worst professor I have ever taken at Purdue. The questions she puts on her exams do not correspond with her lectures about 80% of the time. Most of the time, she has no idea what she is doing.  I took a different professor for this class, and they helped me understand Microeconomics so much better. Not sure how she is still employed. ",2026-03-02 03:31:53 +0000 UTC,4,1,0,0,Melanie Fox,Economics,2.5
ECON252,Maxistan deported her for a reason,2026-01-14 22:03:26 +0000 UTC,5,1,0,0,Melanie Fox,Economics,2.5
ECON252,"In the words of One republic ""Boy, run, run, run, run, run, yeah, run run run."" If the fox catches up to you. Prepare yourself for a semester of blood, sweat, and tears. If your not religious pick one and start praying. But if your fast I repeat Run away, Run fast, and never ever look back!",2026-01-14 01:35:52 +0000 UTC,5,1,0,0,Melanie Fox,Economics,2.5
ECON252,Just so bad!!! I got a 5 on AP macro and failed this course!!! This class is designed to teach but rather to make you fail. If your seeing this during open registration chose a different prof!!!,2026-01-13 20:56:12 +0000 UTC,5,1,0,0,Melanie Fox,Economics,2.5
ECON252,"The lectures are very important but not very difficult of concepts. There is a no technology policy for the most part, though you are allowed to use iPads. The exams are pretty difficult, reading the textbook is kind of important.",2026-01-06 23:06:47 +0000 UTC,4,3,0,0,Melanie Fox,Economics,2.5
ECON252,"Rigor is one thing; arbitrary difficulty is another. I recommend avoiding this professor; she's on some power trip where she believes that making tests insanely difficult for her ENTRY level class is valid, and it's not. You can understand everything important in macroeconomics and still do poorly on exams since they test random niche concepts.",2025-12-30 22:44:21 +0000 UTC,5,1,0,0,Melanie Fox,Economics,2.5
ECON252,One of my harder classes I've taken. The exams were short answer and fill in the blank. ,2025-12-29 19:16:34 +0000 UTC,4,1,0,0,Melanie Fox,Economics,2.5
ECON252,When one first goes into college they expect that the whole point is to prove you have learned your skills. One class with Dr. Fox will make you realize that is simply not the case. Exams are designed to make your fail and lectures are simply not helpful. If you practice hard you'll learn but not any info that is useful come test time.,2025-12-23 04:23:35 +0000 UTC,5,1,0,0,Melanie Fox,Economics,2.5
ECON252,"Avoid this professor at all costs!!! If this is a required class and she's the only one available, take it next semester. If that doesn't work switch majors. This Econ class was my 13th 14th 15th 16th&#8230; 67th reason why. Hours upon hours of studying. Staying up 36 hours in a row graced me with a D+. I'll be taking my talents to a diffrent prof.",2025-12-22 13:35:25 +0000 UTC,5,1,0,0,Melanie Fox,Economics,2.5
ECON252,"imo: great lecturer, very approachable, always answered questions and explained concepts throughly if something's not clicking in class or office hrs. 

however long you think you'll need to study for a regular exam, double it for this class. exams are insanely difficult relative to other intro classes and there's always grading errors",2025-12-20 16:58:24 +0000 UTC,5,3,0,0,Melanie Fox,Economics,2.5
ECON252,"Lectures are barely relevant and boring since she talks fast. Exams are tough with vague questions and few multiple-choice options, so you need to thoroughly understand your knowledge. She has taught for a while, but her teaching style still weirds me out. HWs and activities are worth little, while exams are worth so so so so much.",2025-12-18 15:34:09 +0000 UTC,4,2,0,0,Melanie Fox,Economics,2.5
ECON252,Very difficult cumulative final that is like really intense and on so many modules about so many topics doesn't clearly tell us to focus on for anything. SO DIFFICULT TO FIND WHAT ASSIGNMENTS ARE DUE WHEN SHE DOESN'T SAY WHEN HALF THE THINGS ARE DUE.,2025-12-18 02:33:31 +0000 UTC,5,1,0,0,Melanie Fox,Economics,2.5
